Practice Name,Chief Doctor / Director,Phone,Contact Email,Address,Specialties,City,County,Source,NPI,License,Last Verified
Front Range Psychological Services,Brian Beaumund,(720) 702-4812,,"Arvada, CO 80002",general clinical,Arvada,Jefferson,psychologytoday.com,,,2026-05-13
Colorado Psych Clinic,Jacob Wilson,(719) 356-4968,,"Colorado Springs, CO 80919",general clinical; support groups,Colorado Springs,El Paso,psychologytoday.com,,,2026-05-13
Colorado Forensic Psychology,"Nicole Schneider, PhD, ABPP",(303) 974-0642,coloradoforensicpsychology@gmail.com,"Denver, CO",forensic; competence to proceed; criminal responsibility,Denver,Denver,coloradoforensicpsychology.com,,,2026-05-13
Center for Forensic & Clinical Psychology,"Richard F. Spiegle, PsyD",(303) 558-7056,,"Denver, CO",forensic; clinical,Denver,Denver,web,,,2026-05-13
Mountain Vista Psychology,,(720) 583-9332,info@mountainvistapsychology.com,"Castle Rock / Denver metro, CO",forensic evaluation; civil; domestic; criminal,Castle Rock,Douglas,mountainvistapsychology.com,,,2026-05-13
Psychological Associates of the Rockies,"Jane Cleveland, PhD",,,"Greenwood Village, CO",forensic; civil; domestic; criminal; probate,Greenwood Village,Arapahoe,thepsychologicalassociates.com,,,2026-05-13
Peak Forensic Psych Services,"Dean Leav, PsyD",,,CO (multi-state),forensic evaluations; criminal; personal injury,Denver,Denver,web,,,2026-05-13
Mile High Psychology,,,,"Denver + Colorado Springs, CO",forensic; correctional consultation,Denver,Denver,milehighpsychology.com,,,2026-05-13
"Colorado Clinical and Forensic Psychology, P.C.",,,,"Denver, CO",forensic; clinical,Denver,Denver,npi,1912231374,,2026-05-13
Denver Health Forensic Psychiatry,,,,"Denver, CO",forensic psychiatry (institutional),Denver,Denver,denverhealth.org,,,2026-05-13
McCallum Forensic Psychology,,,,CO,forensic evaluation,Denver,Denver,mccallumforensicpsychology.com,,,2026-05-13
Elliott & Associates,"Wendy M. Elliott, PhD",,,CO,forensic,Denver,Denver,wendymelliottphd.com,,,2026-05-13
Vivus Counseling,,,,"Colorado Springs, CO",forensic; court-ordered evaluations,Colorado Springs,El Paso,vivuscounseling.com,,,2026-05-13
Enhearten Counseling and Assessment,,,,"3030 S College Ave, Suite 207, Fort Collins, CO",psychological assessment; counseling,Fort Collins,Larimer,enheartencounseling.com,,,2026-05-13
Northern Colorado Assessment Center,,,,"Fort Collins, CO",psychological testing & evaluations,Fort Collins,Larimer,nocoassessmentcenter.com,,,2026-05-13
Psychiatric Services of the Rockies,,,,"Fort Collins, CO",adult / adolescent / child psychiatry,Fort Collins,Larimer,psychiatricservicesoftherockies.com,,,2026-05-13
CSU Psychological Services Center,,,,"Fort Collins, CO",community mental health; assessment (academic-affiliated),Fort Collins,Larimer,psychology.colostate.edu/psc,,,2026-05-13
"Pivotal Counseling, LLC",,,,"Greeley / Fort Collins / Loveland / Windsor, CO",counseling; psychotherapy,Greeley,Weld,pivotalcounseling.com,,,2026-05-13
Family Care Center - Loveland,,(888) 374-5066,,"Loveland, CO",therapy; psychiatry; psychology,Loveland,Larimer,fccwellbeing.com,,,2026-05-13
Boulder Psychological Services,"Jan Hittelman, PhD",,,"Boulder, CO",children; adolescents; young adults; families,Boulder,Boulder,boulderpsychologicalservices.com,,,2026-05-13
Atlas Psychology Boulder,,,,"Boulder, CO",individuals; couples; families; athletes; performers,Boulder,Boulder,atlaspsychologyboulder.com,,,2026-05-13
Boulder Valley Psychotherapy,"Heather Whittall, PsyD",(720) 591-4664,,"1800 30th Street, Suite 212, Boulder, CO 80301",clinical (age 11+),Boulder,Boulder,bouldervalleypsychotherapy.com,,,2026-05-13
Collective for Psychological Wellness,"Elizabeth Olson, PhD",,,"Boulder, CO",psychotherapy,Boulder,Boulder,collectiveforpsychologicalwellness.com,,,2026-05-13
Boulder Center for Family and Behavioral Health,,,,"Boulder, CO",family; behavioral health,Boulder,Boulder,boulderfamilyhealth.com,,,2026-05-13
Dr. Meg McKelvie (private practice),"Meg McKelvie, PhD",,,"Boulder, CO",clinical psychology,Boulder,Boulder,drmegmckelvie.com,,,2026-05-13
Dr. Lynda Mathis (private practice),"Lynda Mathis, PhD",,,"Boulder County, CO",anxiety; depression; relationships,Boulder,Boulder,drlyndamathis.com,,,2026-05-13
"Pueblo Pioneer Psychology, LLC","Alfonso Cappa, PsyD",(719) 470-0514,,"1124 Eagleridge Blvd, Pueblo, CO 81008",psychological evaluations; ADHD; autism; learning disorders; bipolar,Pueblo,Pueblo,pioneerpsychology.com,1538689195,,2026-05-13
Willow Tree Counseling,,(719) 888-3920,,"Pueblo / Canon City, CO",counseling,Pueblo,Pueblo,psychologytoday.com,,,2026-05-13
Thriveworks Pueblo,,(719) 294-0595,,"Pueblo, CO",counseling; therapy,Pueblo,Pueblo,thriveworks.com,,,2026-05-13
Dr. Nicole Gaal,"Nicole Gaal, PsyD",(719) 259-5258,,"Colorado Springs, CO 80907",trauma and PTSD; depression; grief,Colorado Springs,El Paso,psychologytoday.com,,PSY.0003685,2026-05-13
Authentic Connections Therapy and Wellness,"Brittany Woolford, PhD",(303) 732-8930,,"2460 West 26th Ave, 450-C, Denver, CO 80211",relationship issues; family conflict; marital and premarital,Denver,Denver,psychologytoday.com,,PSY.0005317,2026-05-13
Dr. Tiffany Lyon,"Tiffany Lyon, PsyD",(855) 605-5092,,"Denver, CO 80207",anxiety; depression; pregnancy; postpartum,Denver,Denver,psychologytoday.com,,,2026-05-13
